type,time_ms,temperature_C,pressure_Pa,pressure_hPa,relative_height_m,estimated_floor,offset_from_estimated_floor_m,actual_floor,correct,calibrated_floor
read,909865,25.98,101183.59,1011.84,-40.54,0,-40.54,,,
read,910876,25.99,101184.05,1011.84,-40.58,0,-40.58,,,
read,911881,25.99,101184.14,1011.84,-40.58,0,-40.58,,,
read,912890,25.99,101184.05,1011.84,-40.58,0,-40.58,,,
read,913903,25.99,101184.35,1011.84,-40.60,0,-40.60,,,
read,914920,25.99,101184.23,1011.84,-40.59,0,-40.59,,,
read,915928,26.00,101184.08,1011.84,-40.58,0,-40.58,,,
read,916943,26.00,101184.02,1011.84,-40.57,0,-40.57,,,
read,917944,26.00,101183.72,1011.84,-40.55,0,-40.55,,,
read,918938,26.00,101183.85,1011.84,-40.56,0,-40.56,,,
read,919938,26.00,101183.73,1011.84,-40.55,0,-40.55,,,
read,920944,26.01,101184.33,1011.84,-40.60,0,-40.60,,,
read,921954,26.01,101183.95,1011.84,-40.57,0,-40.57,,,
read,922965,26.01,101183.83,1011.84,-40.56,0,-40.56,,,
read,923969,26.01,101184.58,1011.85,-40.62,0,-40.62,,,
read,924977,26.01,101184.84,1011.85,-40.64,0,-40.64,,,
read,925991,26.01,101184.48,1011.84,-40.61,0,-40.61,,,
read,927007,26.02,101184.27,1011.84,-40.59,0,-40.59,,,
read,928013,26.02,101184.55,1011.85,-40.62,0,-40.62,,,
read,929026,26.02,101184.73,1011.85,-40.63,0,-40.63,,,
read,930028,26.02,101184.91,1011.85,-40.65,0,-40.65,,,
read,931887,26.02,101185.02,1011.85,-40.66,0,-40.66,,,
read,932901,26.02,101185.48,1011.85,-40.69,0,-40.69,,,
read,933920,26.03,101185.21,1011.85,-40.67,0,-40.67,,,
read,934921,26.03,101185.51,1011.86,-40.70,0,-40.70,,,
read,935907,26.03,101185.55,1011.86,-40.70,0,-40.70,,,
read,936920,26.04,101185.91,1011.86,-40.73,0,-40.73,,,
read,937934,26.04,101186.19,1011.86,-40.75,0,-40.75,,,
read,938943,26.04,101185.98,1011.86,-40.74,0,-40.74,,,
read,939955,26.04,101186.23,1011.86,-40.76,0,-40.76,,,
read,940970,26.05,101186.42,1011.86,-40.77,0,-40.77,,,
read,941989,26.05,101186.55,1011.87,-40.78,0,-40.78,,,
read,943001,26.05,101186.16,1011.86,-40.75,0,-40.75,,,
read,944018,26.05,101186.01,1011.86,-40.74,0,-40.74,,,
read,945019,26.05,101185.92,1011.86,-40.73,0,-40.73,,,
read,946022,26.05,101185.79,1011.86,-40.72,0,-40.72,,,
read,947039,26.05,101185.55,1011.86,-40.70,0,-40.70,,,
read,948041,26.06,101185.56,1011.86,-40.70,0,-40.70,,,
read,949045,26.06,101185.78,1011.86,-40.72,0,-40.72,,,
read,950051,26.06,101185.27,1011.85,-40.68,0,-40.68,,,
calibration,959514,26.08,101184.22,1011.84,0.00,,,,,0
calibration,968747,26.11,101184.73,1011.85,0.00,,,,,0
