wall_time,ros_time_sec,run_id,elapsed_sec,event_type,source,label,data
2026-06-19_13-53-32-298721,1781870012.298806,20260619_135313,18.365,command,trolley_command,side_align,side_align
2026-06-19_13-53-32-304496,1781870012.304585,20260619_135313,18.371,dropzone_status,dropzone,status,side_aligning via side_align_left. Waiting for side_align_left_done.
2026-06-19_13-53-32-305235,1781870012.305274,20260619_135313,18.372,physical_status,physical_alignment,status,side_align_left_started
2026-06-19_13-53-50-973517,1781870030.973619,20260619_135313,37.040,physical_status,physical_alignment,side_align_complete,"side_align_left_done | final camera=left ids=[17, 18, 19, 20] target_pair=[18, 19] target_x=+0.3503 target_y=+0.2783 center_x=+0.3593 center_y=+0.5844 yaw=-179.92deg error_x=-0.0057 yaw_error=+0.08deg tolerance_x=0.0060 tolerance_yaw=2.00deg"
2026-06-19_13-53-50-977689,1781870030.977768,20260619_135313,37.044,dropzone_status,dropzone,side_align_complete,"side_align_complete: side_align_left_done | final camera=left ids=[17, 18, 19, 20] target_pair=[18, 19] target_x=+0.3503 target_y=+0.2783 center_x=+0.3593 center_y=+0.5844 yaw=-179.92deg error_x=-0.0057 yaw_error=+0.08deg tolerance_x=0.0060 tolerance_yaw=2.00deg. Optional: check trolley type with ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'check_trolley_type'}"" or approve straight drive with ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'drive_under'}"""
2026-06-19_13-53-52-969127,1781870032.969207,20260619_135313,39.036,yolo_detection,yolo,trash_trolley,"{""classes"": [""trash_trolley""]}"
2026-06-19_13-54-00-297672,1781870040.297755,20260619_135313,46.364,dropzone_status,dropzone,trolley_type_checked,trolley_type_checked: trash_trolley via live_yolov8_topic; remembered target=trash_dropoff. Next command: drive_under.
2026-06-19_13-54-00-493920,1781870040.494004,20260619_135313,46.560,command,trolley_command,check_trolley_type,check_trolley_type
2026-06-19_13-54-12-212256,1781870052.212351,20260619_135313,58.279,manual_mark,operator,object_detection_correct,
2026-06-19_13-54-21-390433,1781870061.390522,20260619_135313,67.457,command,trolley_command,drive_under,drive_under
2026-06-19_13-54-21-395351,1781870061.395427,20260619_135313,67.462,dropzone_status,dropzone,status,drive_under_active via drive_straight_under. Waiting for drive_straight_under_done.
2026-06-19_13-54-21-404201,1781870061.404276,20260619_135313,67.471,physical_status,physical_alignment,status,drive_straight_under_started
2026-06-19_13-54-30-873322,1781870070.873405,20260619_135313,76.940,physical_status,physical_alignment,under_trolley,drive_straight_under_done
2026-06-19_13-54-30-875893,1781870070.875980,20260619_135313,76.942,dropzone_status,dropzone,under_trolley,"under_trolley. Inspect position, then approve final ArUco alignment with: ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'fine_align'}"""
2026-06-19_13-54-43-421364,1781870083.421467,20260619_135313,89.488,command,trolley_command,fine_align,fine_align
2026-06-19_13-54-43-423040,1781870083.423097,20260619_135313,89.490,dropzone_status,dropzone,status,fine_aligning via fine_align_under. Waiting for fine_align_under_done.
2026-06-19_13-54-43-429260,1781870083.429372,20260619_135313,89.496,physical_status,physical_alignment,status,front_rear_camera_switch_started
2026-06-19_13-54-44-973289,1781870084.973371,20260619_135313,91.040,physical_status,physical_alignment,status,fine_align_under_started
2026-06-19_13-55-30-069913,1781870130.070001,20260619_135313,136.136,physical_status,physical_alignment,status,fine_align_under_timeout
2026-06-19_13-55-30-071942,1781870130.072004,20260619_135313,136.138,dropzone_status,dropzone,status,fine_alignment_stopped: fine_align_under_timeout
2026-06-19_13-56-07-474633,1781870167.474796,20260619_135313,173.541,manual_mark,operator,too_dark_added light_new_fine_aling_try,
2026-06-19_13-56-36-324142,1781870196.324224,20260619_135313,202.391,command,trolley_command,fine_align,fine_align
2026-06-19_13-56-36-325612,1781870196.325650,20260619_135313,202.392,dropzone_status,dropzone,status,fine_aligning via fine_align_under. Waiting for fine_align_under_done.
2026-06-19_13-56-36-331838,1781870196.331941,20260619_135313,202.398,physical_status,physical_alignment,status,front_rear_camera_switch_started
2026-06-19_13-56-37-870933,1781870197.871012,20260619_135313,203.937,physical_status,physical_alignment,status,fine_align_under_started
2026-06-19_13-56-57-470810,1781870217.470891,20260619_135313,223.537,physical_status,physical_alignment,fine_align_complete,"fine_align_under_done | final ids=[3, 12] center_x=+0.1407 center_y=+0.0088 yaw=+164.99deg orientation=flipped_180 error_x=+0.0037 error_y=+0.0050 yaw_error=-0.01deg target_x=+0.1370 target_y=+0.0038 tolerance_x=0.0040 tolerance_y=0.0100 tolerance_yaw=3.00deg"
2026-06-19_13-56-57-472760,1781870217.472807,20260619_135313,223.539,dropzone_status,dropzone,fine_align_complete,"fine_align_complete: fine_align_under_done | final ids=[3, 12] center_x=+0.1407 center_y=+0.0088 yaw=+164.99deg orientation=flipped_180 error_x=+0.0037 error_y=+0.0050 yaw_error=-0.01deg target_x=+0.1370 target_y=+0.0038 tolerance_x=0.0040 tolerance_y=0.0100 tolerance_yaw=3.00deg. Remembered trash_trolley; approve delivery with ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'deliver_trolley'}"""
2026-06-19_13-58-48-051289,1781870328.051365,20260619_135313,334.118,dropzone_status,dropzone,status,fine_aligning via fine_align_under. Waiting for fine_align_under_done.
2026-06-19_13-58-48-058701,1781870328.058788,20260619_135313,334.125,physical_status,physical_alignment,status,front_rear_camera_switch_started
2026-06-19_13-58-48-148465,1781870328.148556,20260619_135313,334.215,command,trolley_command,fine_align,fine_align
2026-06-19_13-58-49-571680,1781870329.571771,20260619_135313,335.638,physical_status,physical_alignment,status,fine_align_under_started
2026-06-19_13-58-50-274440,1781870330.274534,20260619_135313,336.341,physical_status,physical_alignment,fine_align_complete,"fine_align_under_done | final ids=[3, 12] center_x=+0.1364 center_y=+0.0001 yaw=+163.66deg orientation=flipped_180 error_x=-0.0006 error_y=-0.0037 yaw_error=-1.34deg target_x=+0.1370 target_y=+0.0038 tolerance_x=0.0040 tolerance_y=0.0100 tolerance_yaw=3.00deg"
2026-06-19_13-58-50-279789,1781870330.279872,20260619_135313,336.346,dropzone_status,dropzone,fine_align_complete,"fine_align_complete: fine_align_under_done | final ids=[3, 12] center_x=+0.1364 center_y=+0.0001 yaw=+163.66deg orientation=flipped_180 error_x=-0.0006 error_y=-0.0037 yaw_error=-1.34deg target_x=+0.1370 target_y=+0.0038 tolerance_x=0.0040 tolerance_y=0.0100 tolerance_yaw=3.00deg. Remembered trash_trolley; approve delivery with ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'deliver_trolley'}"""
2026-06-19_13-58-55-597917,1781870335.597995,20260619_135313,341.664,manual_mark,operator,docking unsucessfull_helped_docking,
2026-06-19_13-59-11-954990,1781870351.955077,20260619_135313,358.022,command,trolley_command,deliver_trolley,deliver_trolley
2026-06-19_13-59-11-957121,1781870351.957176,20260619_135313,358.024,dropzone_status,dropzone,dropoff_goal_sent,"dropoff_goal_sent: remembered trash_trolley -> trash_dropoff. When the robot arrives, approve trolley release with: ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'drive_out'}"""
2026-06-19_13-59-33-224778,1781870373.224865,20260619_135313,379.291,command,trolley_command,drive_out,drive_out
2026-06-19_13-59-33-229118,1781870373.229187,20260619_135313,379.296,dropzone_status,dropzone,status,drive_out_active for 7.0s. Publishing direct cmd_vel to release trolley.
2026-06-19_13-59-40-230059,1781870380.230144,20260619_135313,386.297,dropzone_status,dropzone,drive_out_done,drive_out_done. Released trash_trolley; cleared trolley type. Next command: trolley_ready.
2026-06-19_13-59-40-230587,1781870380.230625,20260619_135313,386.297,run_end,logger,drive_out_done,
2026-06-19_14-02-35-582732,1781870555.582766,20260619_140235,0.000,run_start,logger,manual_mark_without_active_run,
